0	1	2	3	4	5	6	M
0	0	0	0	0	0	0	19989
0	0	0	0	0	0	1	23521
0	0	0	0	0	0	2	24553
0	0	0	0	0	0	ALL	68063
0	0	0	0	0	1	0	26093
0	0	0	0	0	1	1	18774
0	0	0	0	0	1	2	23972
0	0	0	0	0	1	ALL	68839
0	0	0	0	0	2	0	16605
0	0	0	0	0	2	1	21396
0	0	0	0	0	2	2	27131
0	0	0	0	0	2	ALL	65132
0	0	0	0	0	ALL	0	62687
0	0	0	0	0	ALL	1	63691
0	0	0	0	0	ALL	2	75656
0	0	0	0	0	ALL	ALL	202034
0	0	0	0	1	0	0	22797
0	0	0	0	1	0	1	28265
0	0	0	0	1	0	2	22309
0	0	0	0	1	0	ALL	73371
0	0	0	0	1	1	0	21412
0	0	0	0	1	1	1	25820
0	0	0	0	1	1	2	28193
0	0	0	0	1	1	ALL	75425
0	0	0	0	1	2	0	18902
0	0	0	0	1	2	1	26040
0	0	0	0	1	2	2	24207
0	0	0	0	1	2	ALL	69149
0	0	0	0	1	ALL	0	63111
0	0	0	0	1	ALL	1	80125
0	0	0	0	1	ALL	2	74709
0	0	0	0	1	ALL	ALL	217945
0	0	0	0	2	0	0	30801
0	0	0	0	2	0	1	18946
0	0	0	0	2	0	2	25768
0	0	0	0	2	0	ALL	75515
0	0	0	0	2	1	0	28787
0	0	0	0	2	1	1	26630
0	0	0	0	2	1	2	17564
0	0	0	0	2	1	ALL	72981
0	0	0	0	2	2	0	20263
0	0	0	0	2	2	1	22177
0	0	0	0	2	2	2	20497
0	0	0	0	2	2	ALL	62937
0	0	0	0	2	ALL	0	79851
0	0	0	0	2	ALL	1	67753
0	0	0	0	2	ALL	2	63829
0	0	0	0	2	ALL	ALL	211433
0	0	0	0	ALL	0	0	73587
0	0	0	0	ALL	0	1	70732
0	0	0	0	ALL	0	2	72630
0	0	0	0	ALL	0	ALL	216949
0	0	0	0	ALL	1	0	76292
0	0	0	0	ALL	1	1	71224
0	0	0	0	ALL	1	2	69729
0	0	0	0	ALL	1	ALL	217245
0	0	0	0	ALL	2	0	55770
0	0	0	0	ALL	2	1	69613
0	0	0	0	ALL	2	2	71835
0	0	0	0	ALL	2	ALL	197218
0	0	0	0	ALL	ALL	0	205649
0	0	0	0	ALL	ALL	1	211569
0	0	0	0	ALL	ALL	2	214194
0	0	0	0	ALL	ALL	ALL	631412
0	0	0	1	0	0	0	24670
0	0	0	1	0	0	1	20296
0	0	0	1	0	0	2	19180
0	0	0	1	0	0	ALL	64146
0	0	0	1	0	1	0	30283
0	0	0	1	0	1	1	22007
0	0	0	1	0	1	2	24439
0	0	0	1	0	1	ALL	76729
0	0	0	1	0	2	0	24219
0	0	0	1	0	2	1	20210
0	0	0	1	0	2	2	19952
0	0	0	1	0	2	ALL	64381
0	0	0	1	0	ALL	0	79172
0	0	0	1	0	ALL	1	62513
0	0	0	1	0	ALL	2	63571
0	0	0	1	0	ALL	ALL	205256
0	0	0	1	1	0	0	24181
0	0	0	1	1	0	1	17602
0	0	0	1	1	0	2	19913
0	0	0	1	1	0	ALL	61696
0	0	0	1	1	1	0	22219
0	0	0	1	1	1	1	15678
0	0	0	1	1	1	2	22437
0	0	0	1	1	1	ALL	60334
0	0	0	1	1	2	0	17264
0	0	0	1	1	2	1	18669
0	0	0	1	1	2	2	20330
0	0	0	1	1	2	ALL	56263
0	0	0	1	1	ALL	0	63664
0	0	0	1	1	ALL	1	51949
0	0	0	1	1	ALL	2	62680
0	0	0	1	1	ALL	ALL	178293
0	0	0	1	2	0	0	29346
0	0	0	1	2	0	1	23586
0	0	0	1	2	0	2	23273
0	0	0	1	2	0	ALL	76205
0	0	0	1	2	1	0	20956
0	0	0	1	2	1	1	22154
0	0	0	1	2	1	2	25493
0	0	0	1	2	1	ALL	68603
0	0	0	1	2	2	0	26708
0	0	0	1	2	2	1	22363
0	0	0	1	2	2	2	22796
0	0	0	1	2	2	ALL	71867
0	0	0	1	2	ALL	0	77010
0	0	0	1	2	ALL	1	68103
0	0	0	1	2	ALL	2	71562
0	0	0	1	2	ALL	ALL	216675
0	0	0	1	ALL	0	0	78197
0	0	0	1	ALL	0	1	61484
0	0	0	1	ALL	0	2	62366
0	0	0	1	ALL	0	ALL	202047
0	0	0	1	ALL	1	0	73458
0	0	0	1	ALL	1	1	59839
0	0	0	1	ALL	1	2	72369
0	0	0	1	ALL	1	ALL	205666
0	0	0	1	ALL	2	0	68191
0	0	0	1	ALL	2	1	61242
0	0	0	1	ALL	2	2	63078
0	0	0	1	ALL	2	ALL	192511
0	0	0	1	ALL	ALL	0	219846
0	0	0	1	ALL	ALL	1	182565
0	0	0	1	ALL	ALL	2	197813
0	0	0	1	ALL	ALL	ALL	600224
0	0	0	2	0	0	0	24776
0	0	0	2	0	0	1	19980
0	0	0	2	0	0	2	20822
0	0	0	2	0	0	ALL	65578
0	0	0	2	0	1	0	16403
0	0	0	2	0	1	1	23534
0	0	0	2	0	1	2	25478
0	0	0	2	0	1	ALL	65415
0	0	0	2	0	2	0	24834
0	0	0	2	0	2	1	24830
0	0	0	2	0	2	2	25502
0	0	0	2	0	2	ALL	75166
0	0	0	2	0	ALL	0	66013
0	0	0	2	0	ALL	1	68344
0	0	0	2	0	ALL	2	71802
0	0	0	2	0	ALL	ALL	206159
0	0	0	2	1	0	0	23391
0	0	0	2	1	0	1	19090
0	0	0	2	1	0	2	15442
0	0	0	2	1	0	ALL	57923
0	0	0	2	1	1	0	25178
0	0	0	2	1	1	1	21479
0	0	0	2	1	1	2	29112
0	0	0	2	1	1	ALL	75769
0	0	0	2	1	2	0	22242
0	0	0	2	1	2	1	21415
0	0	0	2	1	2	2	28363
0	0	0	2	1	2	ALL	72020
0	0	0	2	1	ALL	0	70811
0	0	0	2	1	ALL	1	61984
0	0	0	2	1	ALL	2	72917
0	0	0	2	1	ALL	ALL	205712
0	0	0	2	2	0	0	22689
0	0	0	2	2	0	1	27224
0	0	0	2	2	0	2	19474
0	0	0	2	2	0	ALL	69387
0	0	0	2	2	1	0	20391
0	0	0	2	2	1	1	27235
0	0	0	2	2	1	2	18597
0	0	0	2	2	1	ALL	66223
0	0	0	2	2	2	0	31677
0	0	0	2	2	2	1	17164
