0	1	2	M
0	0	0	1109
0	0	1	2275
0	0	2	885
0	0	ALL	4269
0	1	0	2210
0	1	1	385
0	1	2	291
0	1	ALL	2886
0	2	0	1247
0	2	2	875
0	2	ALL	2122
0	ALL	0	4566
0	ALL	1	2660
0	ALL	2	2051
0	ALL	ALL	9277
1	0	0	699
1	0	ALL	699
1	1	0	239
1	1	2	1587
1	1	ALL	1826
1	2	0	190
1	2	1	636
1	2	ALL	826
1	ALL	0	1128
1	ALL	1	636
1	ALL	2	1587
1	ALL	ALL	3351
2	0	1	1874
2	0	2	2734
2	0	ALL	4608
2	1	0	1646
2	1	1	475
2	1	2	1631
2	1	ALL	3752
2	2	0	220
2	2	1	2531
2	2	2	569
2	2	ALL	3320
2	ALL	0	1866
2	ALL	1	4880
2	ALL	2	4934
2	ALL	ALL	11680
ALL	0	0	1808
ALL	0	1	4149
ALL	0	2	3619
ALL	0	ALL	9576
ALL	1	0	4095
ALL	1	1	860
ALL	1	2	3509
ALL	1	ALL	8464
ALL	2	0	1657
ALL	2	1	3167
ALL	2	2	1444
ALL	2	ALL	6268
ALL	ALL	0	7560
ALL	ALL	1	8176
ALL	ALL	2	8572
ALL	ALL	ALL	24308
